"Class","Ticket","Date","Tree","FixVersion","AffectedVersion"
"LedgerRecoveryTest.java","BOOKKEEPER-103","2011-11-04 11:00","tree 4528ae4d66dedde1de286d1a2a9b80e190da020c ------","4.0.0","4.0.0"
"ReadLastConfirmedOp.java","BOOKKEEPER-94","2011-10-26 16:06","tree 63baeb6b53d53539f19c11359036c80bc167eb43 ------","4.0.0","4.0.0"
"LedgerOpenOp.java","BOOKKEEPER-93","2016-08-01 08:04","tree 13c72b0dd1a7701f57ce84b339cb6cd9571cde9a ------","4.0.0","4.0.0"
"BookieWriteLedgersWithDifferentDigestsTest.java","BOOKKEEPER-93","2016-08-01 08:04","tree 13c72b0dd1a7701f57ce84b339cb6cd9571cde9a ------","4.0.0","4.0.0"
"ClientConfiguration.java","BOOKKEEPER-93","2016-08-01 08:04","tree 13c72b0dd1a7701f57ce84b339cb6cd9571cde9a ------","4.0.0","4.0.0"
"BufferedChannel.java","BOOKKEEPER-81","2011-11-17 09:59","tree 4cf23688f0979cc46f3319f03d6e6ab425bceb37 ------","4.0.0","4.0.0"
"FileInfo.java","BOOKKEEPER-50","2011-11-04 11:46","tree 83183f42f4973e79f8f6e5aa1394fb130a4fd2ad ------","4.0.0","4.0.0"
"BookKeeper.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"Bookie.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"ZkLedgerLayoutTest.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"AbstractConfiguration.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"FlatLedgerManager.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"BookkeeperInternalCallbacks.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"LedgerLayout.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"LedgerManager.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"ConcurrentLedgerTest.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"BookieRecoveryTest.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"ZkUtils.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"BookKeeperAdmin.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"TestLedgerManager.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"AbstractZkLedgerManager.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"LedgerCreateOp.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"HierarchicalLedgerManager.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
"LedgerHandle.java","BOOKKEEPER-39","2011-11-28 19:25","tree 5901519c151d210cb9b85e14c90c6a04ce19966d ------","4.0.0","4.0.0"
