"index","VersionID","VersionName","AffectedVersion","Class","Ticket","Bugginess"
"1","12317843","4.0.0","4.0.0","LedgerRecoveryTest.java","BOOKKEEPER-103","YES"
"1","12317843","4.0.0","4.0.0","ReadLastConfirmedOp.java","BOOKKEEPER-94","YES"
"1","12317843","4.0.0","4.0.0","LedgerOpenOp.java","BOOKKEEPER-93","YES"
"1","12317843","4.0.0","4.0.0","BookieWriteLedgersWithDifferentDigestsTest.java","BOOKKEEPER-93","YES"
"1","12317843","4.0.0","4.0.0","ClientConfiguration.java","BOOKKEEPER-93","YES"
"1","12317843","4.0.0","4.0.0","BufferedChannel.java","BOOKKEEPER-81","YES"
"1","12317843","4.0.0","4.0.0","FileInfo.java","BOOKKEEPER-50","YES"
"1","12317843","4.0.0","4.0.0","BookKeeper.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","Bookie.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","ZkLedgerLayoutTest.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","AbstractConfiguration.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","FlatLedgerManager.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","BookkeeperInternalCallbacks.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","LedgerLayout.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","LedgerManager.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","ConcurrentLedgerTest.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","BookieRecoveryTest.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","ZkUtils.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","BookKeeperAdmin.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","TestLedgerManager.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","AbstractZkLedgerManager.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","LedgerCreateOp.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","HierarchicalLedgerManager.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","LedgerHandle.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","LedgerManagerFactory.java","BOOKKEEPER-39","YES"
"1","12317843","4.0.0","4.0.0","Bookie.java","BOOKKEEPER-38","YES"
"1","12317843","4.0.0","4.0.0","BookieServer.java","BOOKKEEPER-38","YES"
"7","12323267","4.3.0","4.3.0","IndexPersistenceMgrTest.java","BOOKKEEPER-815","YES"
"7","12323267","4.3.0","4.3.0","FileInfo.java","BOOKKEEPER-815","YES"
"7","12323267","4.3.0","4.3.0","IndexPersistenceMgrTest.java","BOOKKEEPER-815","YES"
