"Class","Index","ChgSetSize"
"ZooKeeperUtil.java","6","0"
"TestReplicationWorker.java","6","0"
"EnsemblePlacementPolicy.java","1","3"
"ReadOnlyBookieTest.java","2","0"
"AuthHandler.java","1","0"
"TestPerChannelBookieClient.java","2","14"
"BookKeeperAdmin.java","1","0"
"BookieShell.java","2","1"
"BKException.java","1","0"
"IndexInMemPageMgr.java","2","1"
"BookkeeperInternalCallbacks.java","5","22"
"AbstractZkLedgerManager.java","6","9"
"RegionAwareEnsemblePlacementPolicy.java","1","0"
"ServerConfiguration.java","2","2"
"BookKeeperConstants.java","2","3"
"BookKeeperAdmin.java","2","0"
"PerChannelBookieClient.java","6","0"
"LedgerHandleAdv.java","2","0"
"InterleavedLedgerStorage.java","5","3"
"JournalChannel.java","2","1"
"JournalChannel.java","6","7"
"ZeroBuffer.java","5","0"
"package-info.java","2","19"
"ServerConfiguration.java","2","2"
"Journal.java","2","0"
"AuditorPeriodicCheckTest.java","5","0"
"BookKeeperAdmin.java","2","0"
"CodahaleMetricsProvider.java","6","0"
"LedgerLayout.java","2","14"
"Feature.java","5","6"
"GarbageCollectorThread.java","6","1"
"AutoRecoveryMain.java","6","7"
"LedgerDirsMonitor.java","5","7"
"AuditorPeriodicCheckTest.java","2","7"
"ExponentialBackoffRetryPolicy.java","6","7"
"ServerConfiguration.java","6","2"
"LedgerHandle.java","1","0"
"Bookie.java","6","4"
"CreateNewLogTest.java","2","4"
"SlowBookieTest.java","6","0"
"NetworkLessBookieTest.java","2","3"
"ClientConfiguration.java","2","0"
"Cookie.java","1","2"
"SystemPropertiesConfigurationTest.java","1","3"
"BookieShell.java","6","0"
"RegionAwareEnsemblePlacementPolicy.java","2","31"
"BookKeeperClusterTestCase.java","5","16"
"FileInfo.java","2","1"
"NoSystemPropertiesConfigurationTest.java","6","1"
"BookieServer.java","1","3"
"LedgerHandle.java","2","0"
"LedgerMetadataImpl.java","5","4"
"BookKeeper.java","1","2"
"AuthHandler.java","6","2"
"BookKeeperCloseTest.java","6","1"
"CompactionTest.java","1","1"
"LedgerHandleAdv.java","4","0"
"LedgerHandle.java","1","18"
"ClientConfiguration.java","2","2"
"ReadLastConfirmedOp.java","5","0"
"Auditor.java","1","2"
"BookieShell.java","1","0"
"Bookie.java","1","2"
"LedgerHandle.java","2","6"
"LedgerHandle.java","2","0"
"AuditorLedgerCheckerTest.java","5","5"
"InterleavedLedgerStorage.java","5","26"
"LongHierarchicalLedgerManagerFactory.java","4","0"
"BookieZKExpireTest.java","2","0"
"TestRackawareEnsemblePlacementPolicy.java","5","0"
"UpdateLedgerOpTest.java","5","3"
"ServerConfiguration.java","1","0"
"AbstractConfiguration.java","1","5"
"LedgerHandle.java","2","1"
"PerChannelBookieClientFactory.java","5","5"
"Journal.java","5","1"
"ListLedgersTest.java","6","2"
"CachingStatsProvider.java","1","5"
"TryReadLastConfirmedOp.java","2","2"
"TestDelayEnsembleChange.java","2","16"
"BookieNettyServer.java","6","0"
"BookieNettyServer.java","4","0"
"ServerConfiguration.java","1","1"
"LocalBookKeeper.java","6","3"
"BufferedChannel.java","2","0"
"BookieJournalRollingTest.java","2","4"
