"Date","Class","MAXLOC","AVGLOC","Index"
"2014-04-24 10:43","ReplicationWorker.java","11136","212","7"
"2016-03-08 06:49","LedgerCacheTest.java","143025","205",""
"2013-12-06 07:39","ReplicationWorker.java","10261","212","6"
"2012-12-18 13:04","TestFencing.java","16950","0","2"
"2017-08-16 03:41","NetworkTopologyImpl.java","12047","0",""
"2017-07-04 06:27","SyncThreadTest.java","114889","0",""
"2012-04-02 12:38","TestFencing.java","9922","207","1"
"2013-10-02 06:23","ReplicationWorker.java","9215","209","5"
"2014-01-21 16:41","CodahaleMetricsProvider.java","500","0","6"
"2014-02-05 22:43","TestFencing.java","20024","0","7"
"2012-07-18 17:00","DigestManager.java","13966","0","2"
"2012-12-24 05:50","SnapshotMap.java","11231","0","2"
"2012-10-04 18:31","ReplicationWorker.java","6804","213","2"
"2013-08-23 18:48","TestFencing.java","19237","0","5"
"2012-05-25 17:13","DigestManager.java","12570","0","1"
"2012-09-07 07:26","FileSystemUpgrade.java","16620","190","2"
"2012-05-10 14:47","FileSystemUpgrade.java","9245","2","1"
"2017-07-28 20:12","BookiesListener.java","115684","0",""
"2015-04-21 09:17","LedgerOpenOp.java","108938","138",""
"2013-02-08 19:08","FileSystemUpgrade.java","17954","190","4"
"2013-08-21 13:19","AuditorElector.java","9450","101","5"
"2017-08-02 00:49","BookieRequestProcessor.java","119826","138",""
"2013-03-05 18:45","AuditorElector.java","8659","103","4"
"2013-09-11 00:34","BookieRequestHandler.java","1522","0","5"
"2014-04-24 10:43","AuditorElector.java","11523","104","7"
"2014-01-21 05:05","BookieRequestHandler.java","3224","4","6"
"2014-12-10 19:43","IOUtils.java","15840","0",""
"2013-01-04 11:32","AuditorElector.java","7101","20","2"
"2012-08-13 11:38","BookieFailureTest.java","17363","0","2"
"2012-02-13 15:46","BookieFailureTest.java","8709","509","1"
"2017-08-16 03:41","RackawareEnsemblePlacementPolicy.java","119164","-9",""
"2017-05-17 08:57","MacDigestManager.java","114175","20",""
