"Class","Index","Max","Avg"
"CodahaleMetricsProvider.java","5","0","0"
"SafeRunnable.java","1","0","0"
"ReplicationWorker.java","6","0","0"
"SystemPropertiesConfigurationTest.java","1","3","1"
"TestFencing.java","1","6","0"
"CodahaleMetricsProvider.java","6","0","0"
"TestParallelRead.java","6","2","0"
"ReplicationWorker.java","2","4","0"
"TestFencing.java","6","0","0"
"TestFencing.java","5","0","0"
"CodahaleMetricsProvider.java","2","4","0"
"LongHierarchicalLedgerManagerFactory.java","4","0","0"
"FileSystemUpgrade.java","2","2","0"
"ReplicationEnableCb.java","1","39","1"
"BookieRequestHandler.java","4","5","0"
"MetastoreUtils.java","2","0","0"
"AuditorElector.java","4","0","0"
"ListLedgersTest.java","6","2","0"
"RegionAwareEnsemblePlacementPolicy.java","2","31","15"
"RegionAwareEnsemblePlacementPolicy.java","1","0","0"
"ParallelLedgerRecoveryTest.java","5","5","0"
"TestLedgerUnderreplicationManager.java","2","10","0"
"AuditorElector.java","2","7","0"
"BookieFailureTest.java","2","3","0"
"BookKeeperCloseTest.java","1","0","0"
"BookKeeperCloseTest.java","2","1","0"
"BookKeeperCloseTest.java","6","1","0"
"BookieRecoveryTest.java","1","0","0"
"BookieRecoveryTest.java","2","47","0"
"BenchBookie.java","1","0","0"
"BookieRecoveryTest.java","5","1","0"
"MacDigestManager.java","6","2","0"
"MacDigestManager.java","1","2","0"
"LedgerCacheTest.java","1","0","0"
"LedgerCacheTest.java","2","2","0"
"LedgerCacheTest.java","5","0","0"
"LedgerCacheTest.java","4","0","0"
"LedgerManagerTestCase.java","2","25","0"
"InMemoryMetastoreCursor.java","5","7","0"
"SyncThread.java","5","1","0"
"BookKeeperDiskSpaceWeightedLedgerPlacementTest.java","2","3","0"
"ClientUtil.java","1","2","0"
"ReadOnlyBookieTest.java","2","0","0"
"BookieInitializationTest.java","2","2","0"
"BookieInitializationTest.java","5","2","0"
"ReadOnlyBookieTest.java","4","0","0"
"ReadOnlyBookieTest.java","6","6","0"
"ClientUtil.java","6","5","0"
"BookieInitializationTest.java","6","0","0"
"TestClient.java","1","4","0"
"BookieReadWriteTest.java","2","0","0"
"BookieReadWriteTest.java","1","2","0"
"TestClient.java","2","0","0"
"UpgradeTest.java","2","4","0"
"UpgradeTest.java","1","6","0"
"WriteEntryProcessorV3.java","1","3","0"
"ConfigurationTest.java","1","0","0"
"ZooKeeperClient.java","4","2","0"
"ReplicationException.java","1","8","0"
"SlowBookieTest.java","6","0","0"
"FileInfo.java","6","9","0"
"ReplicationException.java","2","2","0"
"AsyncCallback.java","5","3","0"
"FileInfo.java","1","3","0"
"FileInfo.java","2","1","0"
"PerChannelBookieClient.java","6","8","0"
"PrometheusMetricsProvider.java","2","2","0"
"TestEntryLog.java","2","0","0"
"TestBenchmark.java","1","1","0"
"TestEntryLog.java","1","1","0"
"BufferedChannel.java","2","0","0"
"PerChannelBookieClient.java","5","11","0"
"PerChannelBookieClient.java","2","12","0"
"TestBenchmark.java","5","3","0"
"LedgerManager.java","1","1","0"
"PerChannelBookieClient.java","1","0","0"
"AuditorPeriodicCheckTest.java","4","0","0"
"BenchThroughputLatency.java","6","0","0"
"AuditorPeriodicCheckTest.java","5","0","0"
"TestRackawareEnsemblePlacementPolicy.java","5","0","0"
"ReadLacProcessorV3.java","1","32","0"
"AuditorPeriodicCheckTest.java","2","7","3"
"NetworkLessBookieTest.java","2","3","1"
"AuditorRollingRestartTest.java","2","3","0"
"TestBKStats.java","2","0","0"
"ReflectionUtils.java","2","0","0"
"LedgerDirsManagerTest.java","2","1","0"
"LocalBookKeeper.java","6","3","0"
"ZeroBuffer.java","5","0","0"
"Cookie.java","1","2","1"
"BookieProtocol.java","2","1","0"
"Cookie.java","4","13","0"
"BookieProtocol.java","1","11","0"
"GcLedgersTest.java","5","1","0"
"EnsemblePlacementPolicy.java","1","3","3"
"ReadOnlyLedgerHandle.java","2","3","0"
"GcLedgersTest.java","1","4","0"
"BookieClientTest.java","1","0","0"
"LedgerOutputStream.java","2","3","0"
"ConditionalSetTest.java","2","23","0"
"CodahaleStatsLogger.java","6","2","0"
"UpdateLedgerOpTest.java","5","3","0"
"ZooKeeperWatcherBase.java","2","2","0"
"LegacyHierarchicalLedgerManager.java","2","11","0"
"EntryFormatter.java","6","9","0"
"IndexPersistenceMgrTest.java","6","12","0"
"package-info.java","2","19","19"
"TestReplicationWorker.java","5","12","0"
"TestReplicationWorker.java","6","0","0"
"InterleavedLedgerStorage.java","1","7","0"
"CheckpointSource.java","6","0","0"
"InterleavedLedgerStorage.java","6","16","0"
"LedgerCloseTest.java","6","2","0"
"TestReplicationWorker.java","2","29","0"
"InterleavedLedgerStorage.java","5","26","4"
"LedgerCloseTest.java","5","1","0"
"BookieSocketAddress.java","1","23","1"
"RoundRobinDistributionSchedule.java","1","1","0"
"TestLedgerChecker.java","2","4","0"
"AuditorLedgerCheckerTest.java","2","9","0"
"IndexInMemPageMgr.java","2","1","1"
"AuditorLedgerCheckerTest.java","5","10","1"
"TestLedgerChecker.java","5","0","0"
"IndexInMemPageMgr.java","1","1","0"
"BookieZKExpireTest.java","2","0","0"
"BookieLedgerIndexTest.java","6","5","0"
"BookieServer.java","1","47","0"
"BookieServer.java","2","9","0"
"EntryMemTable.java","1","8","0"
"LedgerManagerFactory.java","1","17","0"
"OpStatsLogger.java","6","8","0"
"BookieServer.java","5","0","0"
"EntryMemTable.java","4","2","0"
"BookieServer.java","6","8","0"
"BookieJournalTest.java","6","21","0"
"BookieJournalTest.java","1","1","0"
"BookieNettyServer.java","4","0","0"
"ZkLedgerUnderreplicationManager.java","2","4","0"
"MSLedgerManagerFactory.java","2","5","0"
"BookieNettyServer.java","6","4","0"
"ZkLedgerUnderreplicationManager.java","5","1","0"
"ZkLedgerUnderreplicationManager.java","4","7","0"
"AbstractConfiguration.java","2","3","0"
"AbstractConfiguration.java","1","5","0"
"ReplicationStats.java","5","3","0"
"TestLedgerManager.java","2","0","0"
"ConcurrentLedgerTest.java","1","3","0"
"BKException.java","2","3","0"
"BKException.java","1","0","0"
"BookieJournalRollingTest.java","2","4","0"
"SortedLedgerStorage.java","6","1","0"
"DiskChecker.java","2","4","0"
"BookieJournalRollingTest.java","1","2","0"
"LedgerDirsMonitor.java","5","7","3"
"MultipleThreadReadTest.java","1","0","0"
"HierarchicalLedgerManager.java","1","0","0"
"MultipleThreadReadTest.java","2","0","0"
"AuthHandler.java","6","2","1"
"ZooKeeperUtil.java","6","0","0"
"LedgerManagerIteratorTest.java","4","0","0"
"ZooKeeperUtil.java","1","9","0"
"AuthHandler.java","1","0","0"
"ZooKeeperUtil.java","2","0","0"
"ServerConfiguration.java","1","19","0"
"TGTRefreshThread.java","5","10","0"
"ServerConfiguration.java","2","5","0"
"CreateNewLogTest.java","2","4","0"
"ReadEntryProcessorV3.java","2","9","0"
"ServerConfiguration.java","4","0","0"
"ServerConfiguration.java","6","7","0"
"LedgerHandleAdv.java","4","0","0"
"LedgerHandleAdv.java","2","0","0"
"Feature.java","5","6","3"
"ExponentialBackoffRetryPolicy.java","6","7","3"
"AutoRecoveryMain.java","1","0","0"
"BookKeeperAdmin.java","2","3","0"
"BookKeeperAdmin.java","1","0","0"
"AutoRecoveryMain.java","2","3","0"
"PendingReadOp.java","6","8","0"
"PendingReadOp.java","1","1","0"
"LocalBookiesRegistryTest.java","1","1","0"
"IndexCorruptionTest.java","2","0","0"
"BookKeeperAdmin.java","5","1","0"
"AutoRecoveryMain.java","6","7","3"
"PendingReadOp.java","2","0","0"
"PerChannelBookieClientFactory.java","5","5","0"
"ReadLastConfirmedOp.java","1","8","0"
"ReadLastConfirmedOp.java","2","2","0"
"ReadLastConfirmedOp.java","5","0","0"
"ClientConfiguration.java","1","3","0"
"ClientConfiguration.java","2","12","0"
"JournalChannel.java","2","1","1"
"Journal.java","1","0","0"
"CookieTest.java","1","2","0"
"Journal.java","2","0","0"
"JournalChannel.java","6","7","7"
"Journal.java","5","6","0"
"TestDelayEnsembleChange.java","2","16","2"
"Journal.java","6","0","0"
"TestZkUtils.java","2","4","0"
"BookieProtoEncoding.java","1","0","0"
"SecurityProviderFactoryFactory.java","1","23","0"
"Value.java","2","15","0"
"TestReadEntryListener.java","5","3","0"
