"Date","Class","LinesAdded","LinesDeleted","LinesTouched","Index","Sum"
"2017-03-28 22:35","ClientConfiguration.java","167","4419","4586","","9172"
"2017-04-15 13:58","ClientConfiguration.java","547","5899","6446","","12892"
"2017-05-15 19:52","ClientConfiguration.java","2089","10095","12184","","24368"
"2017-06-21 19:58","ClientConfiguration.java","3872","17201","21073","","42146"
"2017-06-05 21:48","ClientConfiguration.java","3540","15481","19021","","38042"
"2017-06-21 19:50","ClientConfiguration.java","3866","17085","20951","","41902"
"2017-08-02 00:49","ClientConfiguration.java","9191","45831","55022","","110044"
"2017-08-01 08:34","ClientConfiguration.java","8424","42479","50903","","101806"
"2017-06-30 00:12","ClientConfiguration.java","4267","20740","25007","","50014"
"2017-07-04 06:27","ClientConfiguration.java","4538","22972","27510","","55020"
"2017-08-02 00:49","BKException.java","3657","17269","20926","","41852"
"2014-06-02 11:54","AuditorLedgerCheckerTest.java","9460","82534","91994","7","183988"
"2014-07-24 01:41","AuditorLedgerCheckerTest.java","9742","83301","93043","","186086"
"2012-12-14 20:26","AuditorLedgerCheckerTest.java","3225","22325","25550","2","51100"
"2012-10-26 16:25","AuditorLedgerCheckerTest.java","1673","8110","9783","2","19566"
"2016-03-08 07:18","AuditorLedgerCheckerTest.java","11008","101099","112107","","224214"
"2012-12-18 12:00","AuditorLedgerCheckerTest.java","3466","23073","26539","2","53078"
"2016-12-17 02:44","AuditorLedgerCheckerTest.java","70312","74767","145079","","290158"
"2017-07-07 05:11","AuditorLedgerCheckerTest.java","71991","103733","175724","","351448"
"2014-02-05 22:43","AuditorLedgerCheckerTest.java","9175","76976","86151","7","172302"
"2013-08-21 13:19","AuditorLedgerCheckerTest.java","7279","68782","76061","5","152122"
"2017-10-17 09:32","AuditorLedgerCheckerTest.java","79209","125488","204697","","409394"
"2017-05-12 15:20","AuditorLedgerCheckerTest.java","70804","89633","160437","","320874"
"2013-06-15 19:05","AuditorLedgerCheckerTest.java","7172","66999","74171","5","148342"
"2013-05-31 12:02","AuditorLedgerCheckerTest.java","7094","62821","69915","5","139830"
"2013-05-31 12:02","LedgerDeleteTest.java","276","705","981","5","1962"
"2014-01-22 14:35","LedgerDeleteTest.java","2909","15278","18187","6","36374"
"2016-03-08 06:49","LedgerDeleteTest.java","6272","40400","46672","","93344"
"2014-07-24 01:41","LedgerDeleteTest.java","4463","22724","27187","","54374"
"2013-10-12 05:42","JournalChannel.java","1476","3849","5325","6","10650"
"2013-07-20 19:59","JournalChannel.java","36","273","309","5","618"
"2014-04-29 22:07","JournalChannel.java","3801","14956","18757","7","37514"
"2014-03-07 13:30","JournalChannel.java","3619","12462","16081","7","32162"
"2017-06-12 17:20","LedgerManagerTestCase.java","113001","82863","195864","","391728"
"2017-05-16 00:31","LedgerManagerTestCase.java","112069","77379","189448","","378896"
"2016-11-18 00:18","LedgerManagerTestCase.java","111057","54502","165559","","331118"
"2017-01-31 04:01","LedgerManagerTestCase.java","111104","67650","178754","","357508"
"2017-03-28 22:37","LedgerManagerTestCase.java","111195","72548","183743","","367486"
"2015-09-15 10:38","LedgerManagerTestCase.java","6053","37440","43493","","86986"
"2016-04-27 09:55","LedgerManagerTestCase.java","109476","44046","153522","","307044"
"2017-07-04 06:27","LedgerManagerTestCase.java","113323","88643","201966","","403932"
"2016-02-09 08:28","BookieShell.java","9055","78493","87548","","175096"
"2016-03-16 05:03","BookieShell.java","78870","45575","124445","","248890"
"2014-12-06 07:47","BookieShell.java","8050","71768","79818","","159636"
"2014-12-06 08:03","BookieShell.java","8056","71978","80034","","160068"
"2014-09-29 16:29","BookieShell.java","8006","71371","79377","","158754"
"2014-06-03 12:35","BookieShell.java","7381","61823","69204","7","138408"
"2014-02-05 22:43","BookieShell.java","6998","55699","62697","7","125394"
"2013-10-02 06:54","BookieShell.java","4896","47513","52409","5","104818"
"2015-01-13 13:06","BookieShell.java","8310","74077","82387","","164774"
"2017-06-01 23:58","BookieShell.java","81969","85696","167665","","335330"
"2017-07-07 05:11","BookieShell.java","82301","94943","177244","","354488"
"2013-02-26 04:12","BookieShell.java","3726","38433","42159","4","84318"
"2017-01-11 07:37","BookieShell.java","80452","66326","146778","","293556"
"2016-12-21 01:42","BookieShell.java","80449","65965","146414","","292828"
"2017-01-11 07:34","BookieShell.java","80452","66202","146654","","293308"
"2016-11-30 00:02","BookieShell.java","80429","60046","140475","","280950"
"2017-01-30 23:25","BookieShell.java","80453","66502","146955","","293910"
"2017-03-28 22:35","BookieShell.java","80536","77316","157852","","315704"
"2017-01-30 21:31","BookieShell.java","80452","66393","146845","","293690"
"2017-03-22 22:54","BookieShell.java","80538","73014","153552","","307104"
