"Class","Ticket","Date","Tree","FixVersion","OpenVersion","PredictedIV"
"LedgerCacheTest.java","BOOKKEEPER-287","2012-06-06 18:13","tree afbb44507dc3eefc42d9710af095631641923771 ------","2","1","1.225588773521102"
"ZooKeeperUtil.java","BOOKKEEPER-281","2012-06-05 08:00","tree 3e4252fe0431a83937e8becde2317a59eb7daff6 ------","2","1","1.225588773521102"
"BookKeeperTest.java","BOOKKEEPER-281","2012-06-05 08:00","tree 3e4252fe0431a83937e8becde2317a59eb7daff6 ------","2","1","1.225588773521102"
"BookKeeper.java","BOOKKEEPER-281","2012-06-05 08:00","tree 3e4252fe0431a83937e8becde2317a59eb7daff6 ------","2","1","1.225588773521102"
"BookieJournalTest.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"ReadLastConfirmedOp.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"UpgradeTest.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"ReadOnlyLedgerHandle.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"BookieReadWriteTest.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"LedgerRecoveryOp.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"InterleavedLedgerStorage.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"LedgerHandle.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"LedgerEntryPage.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"DigestManager.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"AsyncCallback.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"BookieProtocol.java","BOOKKEEPER-260","2012-05-25 17:13","tree a598a5582c1388ac1a962cfb29d975cc968e498a ------","2","1","1.225588773521102"
"PerChannelBookieClient.java","BOOKKEEPER-258","2012-05-26 19:16","tree 4608596a0ad764637060c91115ea41a85a3fefd5 ------","2","1","1.225588773521102"
"InterleavedLedgerStorage.java","BOOKKEEPER-235","2012-05-09 13:00","tree dbb07efb8f9fdb2300eff64152b8e91047d8e604 ------","2","1","1.225588773521102"
"LedgerCreateDeleteTest.java","BOOKKEEPER-212","2012-04-09 11:42","tree d5d335a9b91f41e63d23c394e93a4da28cafda83 ------","2","1","1.225588773521102"
"CookieTest.java","BOOKKEEPER-211","2012-04-10 05:21","tree 78ef3d97664d619221735f7773ac6109a62edbdb ------","2","1","1.225588773521102"
"BenchBookie.java","BOOKKEEPER-207","2012-04-03 18:02","tree 5f5f468380a64c8c6d99037c43d84ae28088fd0b ------","2","1","1.225588773521102"
"LedgerCacheTest.java","BOOKKEEPER-198","2012-03-31 09:31","tree eff98c8549f9a2db3397f72b40e32b45c8955369 ------","2","1","1.225588773521102"
"HierarchicalLedgerManager.java","BOOKKEEPER-195","2012-03-28 23:57","tree 1976ec691bc2e664c1d96051cf1eebbce379e386 ------","2","1","1.225588773521102"
"AbstractZkLedgerManager.java","BOOKKEEPER-193","2012-03-31 09:13","tree c05919c31a2d605ed4643776e4491811c4661705 ------","2","1","1.225588773521102"
"LedgerManagerTestCase.java","BOOKKEEPER-193","2012-03-31 09:13","tree c05919c31a2d605ed4643776e4491811c4661705 ------","2","1","1.225588773521102"
"SnapshotMap.java","BOOKKEEPER-193","2012-03-31 09:13","tree c05919c31a2d605ed4643776e4491811c4661705 ------","2","1","1.225588773521102"
"FlatLedgerManager.java","BOOKKEEPER-193","2012-03-31 09:13","tree c05919c31a2d605ed4643776e4491811c4661705 ------","2","1","1.225588773521102"
"GcLedgersTest.java","BOOKKEEPER-193","2012-03-31 09:13","tree c05919c31a2d605ed4643776e4491811c4661705 ------","2","1","1.225588773521102"
"LedgerCacheImpl.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"LedgerCacheTest.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"Bookie.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"ServerConfiguration.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"FileInfo.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"BookieJournalTest.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"UpgradeTest.java","BOOKKEEPER-190","2012-03-29 15:18","tree ac46a913712c60854893555ebeb094aac827e95d ------","2","1","1.225588773521102"
"GarbageCollectorThread.java","BOOKKEEPER-188","2012-03-21 06:13","tree ab99eddca713678fbef4e75b5457d1f16f131193 ------","2","1","1.225588773521102"
"TestEntryLog.java","BOOKKEEPER-188","2012-03-21 06:13","tree ab99eddca713678fbef4e75b5457d1f16f131193 ------","2","1","1.225588773521102"
"LedgerDeleteTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"TestLedgerManager.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"BookieZKExpireTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"BookKeeperClusterTestCase.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"IndexCorruptionTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"BookieJournalRollingTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"ZkLedgerLayoutTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"TestReadTimeout.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"CompactionTest.java","BOOKKEEPER-184","2012-03-15 10:37","tree ab0b317c5b73203ce7da15ff1a269bac84b30afe ------","2","1","1.225588773521102"
"EntryLogger.java","BOOKKEEPER-182","2012-03-16 10:41","tree c7ac5f039aedf3c7f5a6f0a1af36d7df3202139e ------","2","1","1.225588773521102"
"TestEntryLog.java","BOOKKEEPER-182","2012-03-16 10:41","tree c7ac5f039aedf3c7f5a6f0a1af36d7df3202139e ------","2","1","1.225588773521102"
"ExitCode.java","BOOKKEEPER-180","2012-03-08 19:24","tree b0aeeaa054afbb1064b1395386d79464f9884487 ------","2","1","1.225588773521102"
"BookieServer.java","BOOKKEEPER-180","2012-03-08 19:24","tree b0aeeaa054afbb1064b1395386d79464f9884487 ------","2","1","1.225588773521102"
"Bookie.java","BOOKKEEPER-180","2012-03-08 19:24","tree b0aeeaa054afbb1064b1395386d79464f9884487 ------","2","1","1.225588773521102"
"ConcurrentLedgerTest.java","BOOKKEEPER-180","2012-03-08 19:24","tree b0aeeaa054afbb1064b1395386d79464f9884487 ------","2","1","1.225588773521102"
"IndexCorruptionTest.java","BOOKKEEPER-177","2012-02-24 19:08","tree 6a3d9916efc8f4d5f346df97493d096f206ac2c9 ------","2","1","1.225588773521102"
"ServerConfiguration.java","BOOKKEEPER-177","2012-02-24 19:08","tree 6a3d9916efc8f4d5f346df97493d096f206ac2c9 ------","2","1","1.225588773521102"
"BookKeeper.java","BOOKKEEPER-176","2012-03-01 15:58","tree a7e3bf2aa8733b885973034e23c849ea5c0c886e ------","2","1","1.225588773521102"
"ClientConfiguration.java","BOOKKEEPER-173","2012-04-20 19:18","tree caea203aa7cd47fb5368c63d6d58ae61c6b8dfcf ------","2","1","1.225588773521102"
"ServerConfiguration.java","BOOKKEEPER-171","2012-02-15 10:58","tree 58c95a78c7011c0d1ca02112e66559670074bc5a ------","2","1","1.225588773521102"
"EntryLogger.java","BOOKKEEPER-170","2012-02-15 16:11","tree 127bd4fb912ac837d8554453eaa0d3908d7326ee ------","2","1","1.225588773521102"
"BookieServer.java","BOOKKEEPER-170","2012-02-15 16:11","tree 127bd4fb912ac837d8554453eaa0d3908d7326ee ------","2","1","1.225588773521102"
"Bookie.java","BOOKKEEPER-170","2012-02-15 16:11","tree 127bd4fb912ac837d8554453eaa0d3908d7326ee ------","2","1","1.225588773521102"
"ConcurrentLedgerTest.java","BOOKKEEPER-170","2012-02-15 16:11","tree 127bd4fb912ac837d8554453eaa0d3908d7326ee ------","2","1","1.225588773521102"
"TestFencing.java","BOOKKEEPER-148","2012-01-11 15:46","tree 12742b9a0819527a0c37d7f7ac9ef343aed503d2 ------","2","1","1.225588773521102"
"Bookie.java","BOOKKEEPER-137","2012-02-09 18:14","tree 3f53fe162a136968ec19a642394a9c9d423fd850 ------","2","1","1.225588773521102"
"LedgerDescriptor.java","BOOKKEEPER-137","2012-02-09 18:14","tree 3f53fe162a136968ec19a642394a9c9d423fd850 ------","2","1","1.225588773521102"
"BookieJournalTest.java","BOOKKEEPER-137","2012-02-09 18:14","tree 3f53fe162a136968ec19a642394a9c9d423fd850 ------","2","1","1.225588773521102"
"FileInfo.java","BOOKKEEPER-137","2012-02-09 18:14","tree 3f53fe162a136968ec19a642394a9c9d423fd850 ------","2","1","1.225588773521102"
"BookieProtocol.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"BKException.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"PendingAddOp.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"Bookie.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"PerChannelBookieClient.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"ReadLastConfirmedOp.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"TestFencing.java","BOOKKEEPER-135","2012-04-02 12:38","tree 04dcf6e583b23dc7db7dae0a998389027fa4cdfb ------","2","1","1.225588773521102"
"PerChannelBookieClient.java","BOOKKEEPER-113","2012-02-24 20:07","tree 9e4303493549ba49fb724c494bc7f24064ef79be ------","2","1","1.225588773521102"
"BookKeeperAdmin.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"PendingReadOp.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"LedgerHandle.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"BookKeeperClusterTestCase.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"CloseTest.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"BookieRecoveryTest.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"TestFencing.java","BOOKKEEPER-112","2012-03-31 10:58","tree ba890e7a88896051ca2206d43c03c8103f6b9760 ------","2","1","1.225588773521102"
"BookieClientTest.java","BOOKKEEPER-40","2012-01-13 18:06","tree ae4c7445c876fb4cad1a5d352fd83632b7bcc3c7 ------","2","1","1.225588773521102"
"PerChannelBookieClient.java","BOOKKEEPER-538","2013-01-10 19:13","tree 07a4a2b1800333def202a1206992fb634a7ddceb ------","4","2","2.451177547042204"
"BookKeeper.java","BOOKKEEPER-538","2013-01-10 19:13","tree 07a4a2b1800333def202a1206992fb634a7ddceb ------","4","2","2.451177547042204"
"AuditorPeriodicCheckTest.java","BOOKKEEPER-538","2013-01-10 19:13","tree 07a4a2b1800333def202a1206992fb634a7ddceb ------","4","2","2.451177547042204"
"BookKeeperTest.java","BOOKKEEPER-538","2013-01-10 19:13","tree 07a4a2b1800333def202a1206992fb634a7ddceb ------","4","2","2.451177547042204"
"AuditorBookieTest.java","BOOKKEEPER-534","2013-01-07 22:53","tree 5a1b332c77adbbbd4a771929c1985a085edc8008 ------","4","2","2.451177547042204"
"IndexCorruptionTest.java","BOOKKEEPER-533","2013-01-09 17:18","tree 1da49fc64f486b1af873a64b668dad7c38388b1d ------","4","2","2.451177547042204"
"BookKeeperClusterTestCase.java","BOOKKEEPER-533","2013-01-09 17:18","tree 1da49fc64f486b1af873a64b668dad7c38388b1d ------","4","2","2.451177547042204"
"LedgerDirsManager.java","BOOKKEEPER-533","2013-01-09 17:18","tree 1da49fc64f486b1af873a64b668dad7c38388b1d ------","4","2","2.451177547042204"
"BookieServer.java","BOOKKEEPER-533","2013-01-09 17:18","tree 1da49fc64f486b1af873a64b668dad7c38388b1d ------","4","2","2.451177547042204"
"DiskChecker.java","BOOKKEEPER-533","2013-01-09 17:18","tree 1da49fc64f486b1af873a64b668dad7c38388b1d ------","4","2","2.451177547042204"
"BookieFailureTest.java","BOOKKEEPER-520","2012-12-20 06:48","tree 7132c650a73f586cee9b6195739246b153aa4437 ------","4","2","2.451177547042204"
"PendingAddOp.java","BOOKKEEPER-520","2012-12-27 23:16","tree 01d80c547aae127b5f9dcf74654f4462f3460e35 ------","4","2","2.451177547042204"
"TestSpeculativeRead.java","BOOKKEEPER-514","2012-12-28 12:32","tree 7837e9f85e7a67aec1c66bc681432d229b26b600 ------","4","2","2.451177547042204"
"LedgerHandle.java","BOOKKEEPER-514","2012-12-28 12:32","tree 7837e9f85e7a67aec1c66bc681432d229b26b600 ------","4","2","2.451177547042204"
"BookieZKExpireTest.java","BOOKKEEPER-512","2012-12-15 03:08","tree 77f7232a4cde19a3936db351efb159ac614c6f63 ------","4","2","2.451177547042204"
"BookieRecoveryTest.java","BOOKKEEPER-498","2012-12-10 16:02","tree ce602f77e4029f3cec54e64bf9ac7fad5fc0526f ------","4","2","2.451177547042204"
"LedgerDirsManager.java","BOOKKEEPER-493","2012-12-12 18:26","tree 63ea09b8f9edf8850847c25ed8882a2b74bf353e ------","4","2","2.451177547042204"
"LedgerDirsManagerTest.java","BOOKKEEPER-493","2012-12-12 18:26","tree 63ea09b8f9edf8850847c25ed8882a2b74bf353e ------","4","2","2.451177547042204"
"PerChannelBookieClient.java","BOOKKEEPER-485","2012-12-01 15:04","tree d92dcb7e14497f159d5d5ee44cfc78d8f0b932fe ------","4","2","2.451177547042204"
"TestPerChannelBookieClient.java","BOOKKEEPER-485","2012-12-01 15:04","tree d92dcb7e14497f159d5d5ee44cfc78d8f0b932fe ------","4","2","2.451177547042204"
"BookKeeperAdmin.java","BOOKKEEPER-481","2012-11-30 04:54","tree beeccf83a2158c977bcac0e5442a714e97df45bb ------","4","2","2.451177547042204"
"ServerConfiguration.java","BOOKKEEPER-481","2012-11-30 04:54","tree beeccf83a2158c977bcac0e5442a714e97df45bb ------","4","2","2.451177547042204"
"LedgerFragment.java","BOOKKEEPER-481","2012-11-30 04:54","tree beeccf83a2158c977bcac0e5442a714e97df45bb ------","4","2","2.451177547042204"
"AbstractConfiguration.java","BOOKKEEPER-481","2012-11-30 04:54","tree beeccf83a2158c977bcac0e5442a714e97df45bb ------","4","2","2.451177547042204"
"ReadOnlyBookieTest.java","BOOKKEEPER-477","2012-11-27 16:52","tree 94d7dd57a96a458939a53f24feb66babe5de3757 ------","4","2","2.451177547042204"
"BookieRecoveryTest.java","BOOKKEEPER-475","2012-12-04 22:15","tree 7812bc5fe8860774a2d0d56392aaf54b2fd3e75c ------","4","2","2.451177547042204"
"TestPerChannelBookieClient.java","BOOKKEEPER-474","2012-12-08 16:14","tree 131153c296470e0007abc5ab72200baaba73f2d5 ------","4","2","2.451177547042204"
"TestLedgerManager.java","BOOKKEEPER-469","2012-12-10 10:58","tree 46b38590fd97899ba00d193dc6d6f3422dc52c33 ------","4","2","2.451177547042204"
"TestBenchmark.java","BOOKKEEPER-467","2012-11-23 11:49","tree 1f1b349ba934f9efa75c9e5f91f631af57f220cd ------","4","2","2.451177547042204"
"PortManager.java","BOOKKEEPER-467","2012-11-23 11:49","tree 1f1b349ba934f9efa75c9e5f91f631af57f220cd ------","4","2","2.451177547042204"
"TestLedgerManager.java","BOOKKEEPER-467","2012-11-23 11:49","tree 1f1b349ba934f9efa75c9e5f91f631af57f220cd ------","4","2","2.451177547042204"
"CookieTest.java","BOOKKEEPER-467","2012-11-23 11:49","tree 1f1b349ba934f9efa75c9e5f91f631af57f220cd ------","4","2","2.451177547042204"
"UpgradeTest.java","BOOKKEEPER-467","2012-11-23 11:49","tree 1f1b349ba934f9efa75c9e5f91f631af57f220cd ------","4","2","2.451177547042204"
