"Index","Ticket","FixVersion","AffectedVersion"
"1","BOOKKEEPER-131","4.0.0","4.0.0"
"2","BOOKKEEPER-129","4.0.0","4.0.0"
"3","BOOKKEEPER-118","4.0.0","4.0.0"
"4","BOOKKEEPER-107","4.0.0","4.0.0"
"5","BOOKKEEPER-103","4.0.0","4.0.0"
"6","BOOKKEEPER-94","4.0.0","4.0.0"
"7","BOOKKEEPER-93","4.0.0","4.0.0"
"8","BOOKKEEPER-92","4.0.0","4.0.0"
"9","BOOKKEEPER-81","4.0.0","4.0.0"
"10","BOOKKEEPER-80","4.0.0","4.0.0"
"11","BOOKKEEPER-79","4.0.0","4.0.0"
"12","BOOKKEEPER-71","4.0.0","4.0.0"
"13","BOOKKEEPER-69","4.0.0","4.0.0"
"14","BOOKKEEPER-61","4.0.0","4.0.0"
"15","BOOKKEEPER-57","4.0.0","4.0.0"
"16","BOOKKEEPER-53","4.0.0","4.0.0"
"17","BOOKKEEPER-52","4.0.0","4.0.0"
"18","BOOKKEEPER-51","4.0.0","4.0.0"
"19","BOOKKEEPER-50","4.0.0","4.0.0"
"20","BOOKKEEPER-43","4.0.0","4.0.0"
"21","BOOKKEEPER-39","4.0.0","4.0.0"
"22","BOOKKEEPER-38","4.0.0","4.0.0"
"23","BOOKKEEPER-815","4.0.0","4.3.0"
"24","BOOKKEEPER-815","4.4.0","4.3.0"
"25","BOOKKEEPER-815","4.3.1","4.3.0"
"26","BOOKKEEPER-695","4.0.0","4.3.0"
"27","BOOKKEEPER-695","4.4.0","4.3.0"
"28","BOOKKEEPER-695","4.3.2","4.3.0"
"29","BOOKKEEPER-279","4.1.0","4.0.0"
"30","BOOKKEEPER-242","4.1.0","4.0.0"
"31","BOOKKEEPER-186","4.1.0","4.0.0"
"32","BOOKKEEPER-174","4.1.0","4.0.0"
"33","BOOKKEEPER-169","4.1.0","4.0.0"
"34","BOOKKEEPER-167","4.1.0","4.0.0"
"35","BOOKKEEPER-163","4.1.0","4.0.0"
"36","BOOKKEEPER-162","4.1.0","4.0.0"
"37","BOOKKEEPER-156","4.1.0","4.0.0"
"38","BOOKKEEPER-153","4.1.0","4.0.0"
"39","BOOKKEEPER-152","4.1.0","4.0.0"
"40","BOOKKEEPER-150","4.1.0","4.0.0"
"41","BOOKKEEPER-142","4.1.0","4.0.0"
"42","BOOKKEEPER-140","4.1.0","4.0.0"
"43","BOOKKEEPER-133","4.1.0","4.0.0"
"44","BOOKKEEPER-56","4.1.0","4.0.0"
"45","BOOKKEEPER-286","4.1.0","4.1.0"
"46","BOOKKEEPER-285","4.1.0","4.1.0"
"47","BOOKKEEPER-273","4.1.0","4.1.0"
"48","BOOKKEEPER-263","4.1.0","4.1.0"
"49","BOOKKEEPER-234","4.1.0","4.1.0"
"50","BOOKKEEPER-232","4.1.0","4.1.0"
"51","BOOKKEEPER-231","4.1.0","4.1.0"
"52","BOOKKEEPER-229","4.1.0","4.1.0"
"53","BOOKKEEPER-217","4.1.0","4.1.0"
"54","BOOKKEEPER-216","4.1.0","4.1.0"
"55","BOOKKEEPER-215","4.1.0","4.1.0"
"56","BOOKKEEPER-209","4.1.0","4.1.0"
"57","BOOKKEEPER-197","4.1.0","4.1.0"
"58","BOOKKEEPER-424","4.2.0","4.0.0"
"59","BOOKKEEPER-382","4.2.0","4.0.0"
"60","BOOKKEEPER-365","4.2.0","4.0.0"
"61","BOOKKEEPER-337","4.2.0","4.0.0"
"62","BOOKKEEPER-330","4.2.0","4.0.0"
"63","BOOKKEEPER-329","4.2.0","4.0.0"
"64","BOOKKEEPER-329","4.1.1","4.0.0"
"65","BOOKKEEPER-327","4.2.0","4.0.0"
"66","BOOKKEEPER-327","4.1.1","4.0.0"
"67","BOOKKEEPER-296","4.2.0","4.0.0"
"68","BOOKKEEPER-296","4.1.1","4.0.0"
"69","BOOKKEEPER-274","4.2.0","4.0.0"
"70","BOOKKEEPER-55","4.2.0","4.0.0"
"71","BOOKKEEPER-543","4.2.0","4.1.0"
"72","BOOKKEEPER-543","4.1.1","4.1.0"
"73","BOOKKEEPER-530","4.2.0","4.1.0"
"74","BOOKKEEPER-500","4.2.0","4.1.0"
"75","BOOKKEEPER-457","4.2.0","4.1.0"
"76","BOOKKEEPER-442","4.2.0","4.1.0"
"77","BOOKKEEPER-439","4.2.0","4.1.0"
"78","BOOKKEEPER-408","4.2.0","4.1.0"
"79","BOOKKEEPER-396","4.2.0","4.1.0"
"80","BOOKKEEPER-396","4.1.1","4.1.0"
"81","BOOKKEEPER-387","4.2.0","4.1.0"
"82","BOOKKEEPER-387","4.1.1","4.1.0"
"83","BOOKKEEPER-383","4.2.0","4.1.0"
"84","BOOKKEEPER-355","4.2.0","4.1.0"
"85","BOOKKEEPER-349","4.2.0","4.1.0"
