"Index","Ticket","FixVersion"
"1","BOOKKEEPER-800","4.0.0"
"2","BOOKKEEPER-800","4.4.0"
"3","BOOKKEEPER-800","4.3.1"
"4","BOOKKEEPER-799","4.0.0"
"5","BOOKKEEPER-799","4.4.0"
"6","BOOKKEEPER-799","4.3.1"
"7","BOOKKEEPER-795","4.0.0"
"8","BOOKKEEPER-795","4.4.0"
"9","BOOKKEEPER-795","4.3.1"
"10","BOOKKEEPER-139","4.0.0"
"11","BOOKKEEPER-138","4.0.0"
"12","BOOKKEEPER-134","4.0.0"
"13","BOOKKEEPER-128","4.0.0"
"14","BOOKKEEPER-127","4.0.0"
"15","BOOKKEEPER-125","4.0.0"
"16","BOOKKEEPER-124","4.0.0"
"17","BOOKKEEPER-119","4.0.0"
"18","BOOKKEEPER-115","4.0.0"
"19","BOOKKEEPER-106","4.0.0"
"20","BOOKKEEPER-100","4.0.0"
"21","BOOKKEEPER-88","4.0.0"
"22","BOOKKEEPER-87","4.0.0"
"23","BOOKKEEPER-86","4.0.0"
"24","BOOKKEEPER-68","4.0.0"
"25","BOOKKEEPER-66","4.0.0"
"26","BOOKKEEPER-65","4.0.0"
"27","BOOKKEEPER-63","4.0.0"
"28","BOOKKEEPER-62","4.0.0"
"29","BOOKKEEPER-59","4.0.0"
"30","BOOKKEEPER-58","4.0.0"
"31","BOOKKEEPER-29","4.0.0"
"32","BOOKKEEPER-28","4.0.0"
"33","BOOKKEEPER-27","4.0.0"
"34","BOOKKEEPER-22","4.0.0"
"35","BOOKKEEPER-19","4.0.0"
"36","BOOKKEEPER-18","4.0.0"
"37","BOOKKEEPER-1","4.0.0"
"38","BOOKKEEPER-5","4.0.0"
"39","BOOKKEEPER-288","4.1.0"
"40","BOOKKEEPER-287","4.1.0"
"41","BOOKKEEPER-281","4.1.0"
"42","BOOKKEEPER-260","4.1.0"
"43","BOOKKEEPER-258","4.1.0"
"44","BOOKKEEPER-245","4.1.0"
"45","BOOKKEEPER-235","4.1.0"
"46","BOOKKEEPER-213","4.1.0"
"47","BOOKKEEPER-212","4.1.0"
"48","BOOKKEEPER-211","4.1.0"
"49","BOOKKEEPER-210","4.1.0"
"50","BOOKKEEPER-207","4.1.0"
"51","BOOKKEEPER-198","4.1.0"
"52","BOOKKEEPER-195","4.1.0"
"53","BOOKKEEPER-194","4.1.0"
"54","BOOKKEEPER-193","4.1.0"
"55","BOOKKEEPER-190","4.1.0"
"56","BOOKKEEPER-189","4.1.0"
"57","BOOKKEEPER-188","4.1.0"
"58","BOOKKEEPER-184","4.1.0"
"59","BOOKKEEPER-182","4.1.0"
"60","BOOKKEEPER-180","4.1.0"
"61","BOOKKEEPER-177","4.1.0"
"62","BOOKKEEPER-176","4.1.0"
"63","BOOKKEEPER-173","4.1.0"
"64","BOOKKEEPER-171","4.1.0"
"65","BOOKKEEPER-170","4.1.0"
"66","BOOKKEEPER-166","4.1.0"
"67","BOOKKEEPER-161","4.1.0"
"68","BOOKKEEPER-148","4.1.0"
"69","BOOKKEEPER-146","4.1.0"
"70","BOOKKEEPER-137","4.1.0"
"71","BOOKKEEPER-135","4.1.0"
"72","BOOKKEEPER-113","4.1.0"
"73","BOOKKEEPER-112","4.1.0"
"74","BOOKKEEPER-74","4.1.0"
"75","BOOKKEEPER-72","4.1.0"
"76","BOOKKEEPER-40","4.1.0"
"77","BOOKKEEPER-539","4.2.0"
"78","BOOKKEEPER-538","4.2.0"
"79","BOOKKEEPER-534","4.2.0"
"80","BOOKKEEPER-533","4.2.0"
"81","BOOKKEEPER-532","4.2.0"
"82","BOOKKEEPER-531","4.2.0"
"83","BOOKKEEPER-522","4.2.0"
"84","BOOKKEEPER-520","4.2.0"
"85","BOOKKEEPER-514","4.2.0"
"86","BOOKKEEPER-513","4.2.0"
"87","BOOKKEEPER-512","4.2.0"
"88","BOOKKEEPER-511","4.2.0"
"89","BOOKKEEPER-509","4.2.0"
"90","BOOKKEEPER-507","4.2.0"
"91","BOOKKEEPER-504","4.2.0"
"92","BOOKKEEPER-503","4.2.0"
"93","BOOKKEEPER-498","4.2.0"
"94","BOOKKEEPER-497","4.2.0"
"95","BOOKKEEPER-493","4.2.0"
"96","BOOKKEEPER-485","4.2.0"
"97","BOOKKEEPER-484","4.2.0"
"98","BOOKKEEPER-483","4.2.0"
"99","BOOKKEEPER-482","4.2.0"
"100","BOOKKEEPER-481","4.2.0"
"101","BOOKKEEPER-480","4.2.0"
"102","BOOKKEEPER-479","4.2.0"
"103","BOOKKEEPER-477","4.2.0"
"104","BOOKKEEPER-475","4.2.0"
"105","BOOKKEEPER-474","4.2.0"
"106","BOOKKEEPER-471","4.2.0"
"107","BOOKKEEPER-470","4.2.0"
"108","BOOKKEEPER-469","4.2.0"
"109","BOOKKEEPER-468","4.2.0"
"110","BOOKKEEPER-467","4.2.0"
"111","BOOKKEEPER-466","4.2.0"
"112","BOOKKEEPER-461","4.2.0"
"113","BOOKKEEPER-458","4.2.0"
"114","BOOKKEEPER-454","4.2.0"
"115","BOOKKEEPER-436","4.2.0"
"116","BOOKKEEPER-434","4.2.0"
"117","BOOKKEEPER-425","4.2.0"
"118","BOOKKEEPER-415","4.2.0"
"119","BOOKKEEPER-413","4.2.0"
"120","BOOKKEEPER-404","4.2.0"
"121","BOOKKEEPER-395","4.2.0"
"122","BOOKKEEPER-392","4.2.0"
"123","BOOKKEEPER-381","4.2.0"
"124","BOOKKEEPER-372","4.2.0"
"125","BOOKKEEPER-372","4.1.1"
"126","BOOKKEEPER-371","4.2.0"
"127","BOOKKEEPER-338","4.2.0"
"128","BOOKKEEPER-324","4.2.0"
"129","BOOKKEEPER-324","4.1.1"
"130","BOOKKEEPER-322","4.2.0"
"131","BOOKKEEPER-307","4.2.0"
