"Index","Class","Size","Age","NumberOfAuthors","Sum","MaxChg","AvgChg","MaxLoc","AvgLoc","ChgSetSize","Bugginess"
"17","Transaction.java","71","0","6","0","0","0","0","0","0","NO"
"18","Transaction.java","71","0","6","0","0","0","0","0","0","NO"
"15","Transaction.java","71","0","6","47012","2","0","15640","0","2","NO"
"16","Transaction.java","71","0","6","51306","0","0","17466","0","0","NO"
"13","Transaction.java","71","0","6","0","0","0","0","0","0","NO"
"14","Transaction.java","71","0","6","0","0","0","0","0","0","YES"
"11","Transaction.java","71","17","6","0","0","0","0","0","0","NO"
"12","Transaction.java","71","0","6","0","0","0","0","0","0","YES"
"19","Transaction.java","71","0","6","0","0","0","0","0","0","NO"
"10","Transaction.java","71","33","6","0","0","0","0","0","0","NO"
"10","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"10","SecurityUtils.java","288","457","4","0","0","0","0","0","0","NO"
"10","Record.java","31","454","4","0","0","0","0","0","0","NO"
"17","Record.java","31","383","4","0","0","0","0","0","0","NO"
"18","Record.java","31","364","4","0","0","0","0","0","0","NO"
"15","Record.java","31","395","4","0","0","0","0","0","0","NO"
"16","Record.java","31","389","4","0","0","0","0","0","0","NO"
"13","Record.java","31","400","4","0","0","0","0","0","0","NO"
"14","Record.java","31","397","4","0","0","0","0","0","0","NO"
"19","SecurityUtils.java","288","359","4","0","0","0","0","0","0","NO"
"11","Record.java","31","439","4","0","32","5","0","0","32","NO"
"12","Record.java","31","400","4","0","0","0","0","0","0","NO"
"16","SecurityUtils.java","288","391","4","0","0","0","0","0","0","NO"
"15","SecurityUtils.java","288","398","4","0","3","0","0","0","3","NO"
"18","SecurityUtils.java","288","367","4","0","0","0","0","0","0","NO"
"17","SecurityUtils.java","288","386","4","0","0","0","0","0","0","NO"
"12","SecurityUtils.java","288","403","4","0","0","0","0","0","0","NO"
"11","SecurityUtils.java","288","441","4","0","0","0","0","0","0","NO"
"14","SecurityUtils.java","288","400","4","0","0","0","0","0","0","NO"
"19","Record.java","31","357","4","0","0","0","0","0","0","NO"
"13","SecurityUtils.java","288","403","4","0","0","0","0","0","0","NO"
"18","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"17","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"16","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"15","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"14","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"13","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"12","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"11","DeleteTest.java","95","0","4","52270","0","0","72010","-49","0","NO"
"19","DeleteTest.java","95","0","4","0","0","0","0","0","0","NO"
"2","ZKAuditLoggerPerformance.java","150","570","1","0","0","0","0","0","0","NO"
"3","ZKAuditLoggerPerformance.java","150","560","1","0","0","0","0","0","0","NO"
"1","ZKAuditLoggerPerformance.java","150","576","1","0","0","0","0","0","0","NO"
"6","ZKAuditLoggerPerformance.java","150","531","1","0","0","0","0","0","0","NO"
"7","ZKAuditLoggerPerformance.java","150","517","1","0","0","0","0","0","0","NO"
"4","ZKAuditLoggerPerformance.java","150","554","1","0","0","0","0","0","0","NO"
"9","AndOp.java","33","3","1","0","0","0","0","0","0","NO"
"5","ZKAuditLoggerPerformance.java","150","539","1","0","0","0","0","0","0","NO"
"8","AndOp.java","33","10","1","0","0","0","0","0","0","NO"
"7","AndOp.java","33","25","1","0","0","0","0","0","0","NO"
"6","AndOp.java","33","39","1","0","0","0","0","0","0","NO"
"5","AndOp.java","33","48","1","0","0","0","0","0","0","NO"
"8","ZKAuditLoggerPerformance.java","150","502","1","0","0","0","0","0","0","NO"
"4","AndOp.java","33","62","1","0","0","0","0","0","0","NO"
"9","ZKAuditLoggerPerformance.java","150","495","1","0","0","0","0","0","0","NO"
"3","AndOp.java","33","68","1","0","0","0","0","0","0","NO"
"2","AndOp.java","33","78","1","0","0","0","0","0","0","NO"
"1","AndOp.java","33","84","1","0","0","0","0","0","0","NO"
"3","ClientCnxnSocket.java","250","548","11","0","0","0","0","0","0","NO"
"2","ClientCnxnSocket.java","250","558","11","0","0","0","0","0","0","NO"
"1","ClientCnxnSocket.java","250","563","11","0","0","0","0","0","0","NO"
"7","ClientCnxnSocket.java","250","504","11","0","0","0","0","0","0","NO"
"6","ClientCnxnSocket.java","250","519","11","0","0","0","0","0","0","NO"
"5","ClientCnxnSocket.java","250","527","11","0","0","0","0","0","0","NO"
"4","ClientCnxnSocket.java","250","542","11","0","0","0","0","0","0","NO"
"9","ClientCnxnSocket.java","250","482","11","0","8","0","0","0","8","NO"
"8","ClientCnxnSocket.java","250","490","11","0","0","0","0","0","0","NO"
"10","CliParseException.java","34","457","2","0","0","0","0","0","0","NO"
"10","JLineZNodeCompleter.java","82","457","4","0","0","0","0","0","0","NO"
