"Date","Class","MAXLOC","AVGLOC","Index"
"2019-08-17 17:13","NettyNettySuiteBase.java","256104","6",""
"2018-08-06 14:11","Learner.java","271847","0",""
"2017-07-28 00:36","ServerAdminClient.java","256932","0",""
"2010-05-05 22:32","QuorumPeer.java","123173","16","8"
"2010-08-18 08:24","QuorumPeer.java","143198","-5","9"
"2019-07-08 23:26","SessionTrackerTest.java","256464","32",""
"2009-11-20 23:28","QuorumPeer.java","108816","-15","6"
"2009-12-15 23:23","QuorumPeer.java","122849","-15","7"
"2009-04-24 20:26","QuorumPeer.java","86560","8","4"
"2012-03-15 17:47","ReadOnlyRequestProcessor.java","20544","8","16"
"2008-12-09 06:14","QuorumPeer.java","54903","-24","2"
"2011-10-28 18:37","ReadOnlyRequestProcessor.java","15696","0","11"
"2010-03-13 01:06","TruncateTest.java","37265","23","7"
"2009-09-16 02:09","TruncateTest.java","1023","0","6"
"2019-05-03 00:44","SendAckRequestProcessor.java","257683","0",""
"2019-10-10 14:37","SaslAuthFailDesignatedClientTest.java","260403","6",""
"2012-02-06 09:56","Transaction.java","15640","0","15"
"2012-03-17 01:31","Transaction.java","17466","0","16"
"2011-04-12 09:14","TxnLogSource.java","14937","0","11"
"2019-08-17 17:13","SessionTracker.java","258419","5",""
"2019-08-17 17:13","ZooKeeperServerBean.java","271848","-5",""
"2011-11-01 08:15","ReadOnlyModeTest.java","15743","23","11"
"2010-08-18 08:24","TruncateTest.java","61840","22","9"
"2010-03-31 06:26","TruncateTest.java","38980","22","8"
"2019-08-17 17:13","WatchDeregistration.java","256292","0",""
"2010-01-26 01:17","SessionTracker.java","23202","0","7"
"2009-11-07 01:48","SessionTracker.java","8865","0","6"
"2019-08-17 17:13","ZKUtilTest.java","54406","0",""
"2009-10-30 17:19","SendAckRequestProcessor.java","49792","0","6"
"2014-01-03 01:24","TruncateTest.java","268528","24",""
"2019-11-29 14:49","QuorumSSLTest.java","127304","-31",""
"2009-08-25 07:45","SendAckRequestProcessor.java","46586","0","5"
"2019-08-17 17:13","JKSFileLoader.java","68806","-37",""
"2010-03-12 19:26","ZooKeeperServerBean.java","122799","25","7"
"2011-04-12 09:14","ZKTestCase.java","27791","0","11"
"2019-08-17 17:13","AtomicFileWritingIdiom.java","256154","0",""
"2009-01-15 23:57","ZooKeeperServerBean.java","40656","0","2"
"2019-08-17 17:13","NIOServerCnxnFactoryTest.java","67684","0",""
"2012-02-11 00:34","ZooKeeperServerMXBean.java","111324","2","15"
"2019-08-17 17:13","QuorumBeanTest.java","111485","0",""
"2009-12-18 03:19","Learner.java","12655","0","7"
"2019-08-17 17:13","CreateModeTest.java","257015","6",""
"2020-02-16 10:25","QuorumPeer.java","268803","18",""
"2019-10-10 14:37","DatadirCleanupManager.java","260518","19",""
"2019-08-17 17:13","ConfigUtilsTest.java","254163","-24",""
"2012-01-31 07:45","LearnerZooKeeperServer.java","69086","-13","15"
"2012-03-30 03:05","ZxidRolloverTest.java","2497","0","17"
"2014-04-29 02:23","ZooDefs.java","263114","5",""
"2019-08-17 17:13","OpResult.java","256904","0",""
"2011-09-02 22:53","JRecord.java","78339","18","11"
"2019-08-17 17:13","ObserverTest.java","257187","-7",""
"2010-04-22 07:42","CreateTest.java","55038","0","8"
"2010-08-17 09:24","CreateTest.java","73013","3","9"
"2020-01-09 22:51","LsCommand.java","266397","1",""
"2019-08-17 17:13","MultiOperationRecordTest.java","256904","0",""
"2019-07-12 17:01","FLELostMessageTest.java","257499","2",""
"2010-03-31 06:26","ZooKeeperTestClient.java","40968","19","8"
"2010-08-18 08:24","DisconnectableZooKeeper.java","141546","0","9"
"2019-11-28 12:24","TraceFormatter.java","14222","1",""
"2011-04-12 09:14","GraphData.java","14937","0","11"
"2011-04-12 09:14","WriteLock.java","83817","0","11"
"2009-10-31 00:09","ZooKeeperTestClient.java","7301","0","6"
"2019-08-05 15:29","PrometheusMetricsProvider.java","47673","-12",""
"2019-08-17 17:13","MultiResponse.java","256904","29",""
"2019-08-17 17:13","NetUtilsTest.java","254163","0",""
"2011-04-12 09:14","AsyncOpsTest.java","133245","-19","11"
"2019-08-17 17:13","Stats.java","256985","0",""
"2019-08-17 17:13","RemoveWatchesTest.java","271665","1",""
"2012-06-30 08:30","KerberosName.java","14116","0","17"
"2012-02-06 10:06","KerberosName.java","9131","0","15"
"2011-10-25 08:09","KeeperStateTest.java","102502","0","11"
