"Class","Ticket","Date","Tree","FixVersion","OpenVersion","PredictedIV"
"Zab1_0Test.java","ZOOKEEPER-1270","2011-11-05 07:29","tree 3dd4ce9655d544046c33e54aca028100fb2c8f1e ------","12","11","11.270605817226889"
"ClientBase.java","ZOOKEEPER-1270","2011-11-05 07:29","tree 3dd4ce9655d544046c33e54aca028100fb2c8f1e ------","12","11","11.270605817226889"
"Zab1_0Test.java","ZOOKEEPER-1270","2011-11-05 07:29","tree 3dd4ce9655d544046c33e54aca028100fb2c8f1e ------","22","11","13.976663989495773"
"ClientBase.java","ZOOKEEPER-1270","2011-11-05 07:29","tree 3dd4ce9655d544046c33e54aca028100fb2c8f1e ------","22","11","13.976663989495773"
"ByteBufferInputStream.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"Learner.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"Zab1_0Test.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"LearnerHandler.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"ZooKeeperServer.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"ByteBufferOutputStream.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"FinalRequestProcessor.java","ZOOKEEPER-1136","2011-09-14 08:56","tree d3251668433d33daf4fdec0f0359f017ec434ede ------","12","11","11.270605817226889"
"JMXEnv.java","ZOOKEEPER-1111","2011-07-19 23:38","tree e6d9c52bbe1c2e1a35ac1330f6edd09de166d034 ------","12","11","11.270605817226889"
"ClientCnxnSocketNIO.java","ZOOKEEPER-1063","2011-07-15 06:10","tree d69643a61e3d70bc086fd87d6bff4d3e3e06d27f ------","12","11","11.270605817226889"
"ZooKeeperTest.java","ZOOKEEPER-1059","2011-05-16 19:39","tree 5a4bbc26d66cb4d0a2a3a0be2a2191f1a90d3512 ------","12","11","11.270605817226889"
"ZooKeeperMain.java","ZOOKEEPER-1059","2011-05-16 19:39","tree 5a4bbc26d66cb4d0a2a3a0be2a2191f1a90d3512 ------","12","11","11.270605817226889"
"ClientTest.java","ZOOKEEPER-870","2010-09-15 07:51","tree 884ab0365358d12dc732af427e80d915a0a72eb1 ------","12","11","11.270605817226889"
"ClientBase.java","ZOOKEEPER-870","2010-09-15 07:51","tree 884ab0365358d12dc732af427e80d915a0a72eb1 ------","12","11","11.270605817226889"
"KerberosName.java","ZOOKEEPER-1327","2012-02-06 10:06","tree 7c58a4a1094f9f763da4ccab5a8bf06f76c1b875 ------","16","15","15.270605817226889"
"KerberosName.java","ZOOKEEPER-1327","2012-02-06 10:06","tree 7c58a4a1094f9f763da4ccab5a8bf06f76c1b875 ------","22","15","16.89424072058822"
"ZooKeeperTest.java","ZOOKEEPER-1307","2012-03-17 01:39","tree cff0c077c2db411e06a98b4c186a07977376ddf5 ------","19","16","16.811817451680664"
"ZooKeeperTest.java","ZOOKEEPER-1307","2012-03-17 01:39","tree cff0c077c2db411e06a98b4c186a07977376ddf5 ------","22","16","17.62363490336133"
"ObserverZooKeeperServer.java","ZOOKEEPER-1798","2013-11-14 05:34","tree 6c93fa560a4b929e61c864a9b4896743cae49fd0 ------","21","16","17.35302908613444"
"Zab1_0Test.java","ZOOKEEPER-1798","2013-10-24 20:41","tree b9d9b706606efc3d93945258e99bec2fb925b3fb ------","21","16","17.35302908613444"
"SyncRequestProcessor.java","ZOOKEEPER-1798","2013-10-24 20:41","tree b9d9b706606efc3d93945258e99bec2fb925b3fb ------","21","16","17.35302908613444"
"ObserverZooKeeperServer.java","ZOOKEEPER-1798","2013-11-14 05:34","tree 6c93fa560a4b929e61c864a9b4896743cae49fd0 ------","22","16","17.62363490336133"
"Zab1_0Test.java","ZOOKEEPER-1798","2013-10-24 20:41","tree b9d9b706606efc3d93945258e99bec2fb925b3fb ------","22","16","17.62363490336133"
"SyncRequestProcessor.java","ZOOKEEPER-1798","2013-10-24 20:41","tree b9d9b706606efc3d93945258e99bec2fb925b3fb ------","22","16","17.62363490336133"
"ClientCnxn.java","ZOOKEEPER-1753","2013-09-18 15:14","tree 4cc11af4c51495289e2ebf2545e4051f32e08c9b ------","21","16","17.35302908613444"
"ClientCnxn.java","ZOOKEEPER-1753","2013-09-18 15:14","tree 4cc11af4c51495289e2ebf2545e4051f32e08c9b ------","22","16","17.62363490336133"
"WatcherTest.java","ZOOKEEPER-1648","2013-02-19 08:55","tree 0a9ecfb93deb2baedc21ac234ce153f1c25857e1 ------","21","16","17.35302908613444"
"WatcherTest.java","ZOOKEEPER-1648","2013-02-19 08:55","tree 0a9ecfb93deb2baedc21ac234ce153f1c25857e1 ------","22","16","17.62363490336133"
"ZooKeeperServer.java","ZOOKEEPER-1642","2013-05-16 18:49","tree aeeabfe61cfeb4ff5a7cb1ddbaada49b28995e61 ------","21","16","17.35302908613444"
