"Index","Ticket","FixVersion","AffectedVersion"
"1","ZOOKEEPER-203","3.0.0","3.0.0"
"2","ZOOKEEPER-201","3.0.0","3.0.0"
"3","ZOOKEEPER-200","3.0.0","3.0.0"
"4","ZOOKEEPER-199","3.0.0","3.0.0"
"5","ZOOKEEPER-198","3.0.0","3.0.0"
"6","ZOOKEEPER-193","3.0.0","3.0.0"
"7","ZOOKEEPER-190","3.0.0","3.0.0"
"8","ZOOKEEPER-189","3.0.0","3.0.0"
"9","ZOOKEEPER-187","3.0.0","3.0.0"
"10","ZOOKEEPER-181","3.0.0","3.0.0"
"11","ZOOKEEPER-157","3.0.0","3.0.0"
"12","ZOOKEEPER-151","3.0.0","3.0.0"
"13","ZOOKEEPER-150","3.0.0","3.0.0"
"14","ZOOKEEPER-140","3.0.0","3.0.0"
"15","ZOOKEEPER-138","3.0.0","3.0.0"
"16","ZOOKEEPER-137","3.0.0","3.0.0"
"17","ZOOKEEPER-136","3.0.0","3.0.0"
"18","ZOOKEEPER-133","3.0.0","3.0.0"
"19","ZOOKEEPER-127","3.0.0","3.0.0"
"20","ZOOKEEPER-123","3.0.0","3.0.0"
"21","ZOOKEEPER-117","3.0.0","3.0.0"
"22","ZOOKEEPER-115","3.0.0","3.0.0"
"23","ZOOKEEPER-110","3.0.0","3.0.0"
"24","ZOOKEEPER-109","3.0.0","3.0.0"
"25","ZOOKEEPER-105","3.0.0","3.0.0"
"26","ZOOKEEPER-63","3.0.0","3.0.0"
"27","ZOOKEEPER-54","3.0.0","3.0.0"
"28","ZOOKEEPER-4","3.0.0","3.0.0"
"29","ZOOKEEPER-228","3.0.1","3.0.0"
"30","ZOOKEEPER-228","3.1.0","3.0.0"
"31","ZOOKEEPER-227","3.0.1","3.0.0"
"32","ZOOKEEPER-227","3.1.0","3.0.0"
"33","ZOOKEEPER-226","3.0.1","3.0.0"
"34","ZOOKEEPER-226","3.1.0","3.0.0"
"35","ZOOKEEPER-221","3.0.1","3.0.0"
"36","ZOOKEEPER-221","3.1.0","3.0.0"
"37","ZOOKEEPER-219","3.0.1","3.0.0"
"38","ZOOKEEPER-219","3.1.0","3.0.0"
"39","ZOOKEEPER-218","3.0.1","3.0.0"
"40","ZOOKEEPER-218","3.1.0","3.0.0"
"41","ZOOKEEPER-213","3.0.1","3.0.0"
"42","ZOOKEEPER-213","3.1.0","3.0.0"
"43","ZOOKEEPER-212","3.0.1","3.0.0"
"44","ZOOKEEPER-212","3.1.0","3.0.0"
"45","ZOOKEEPER-209","3.0.1","3.0.0"
"46","ZOOKEEPER-209","3.1.0","3.0.0"
"47","ZOOKEEPER-208","3.0.1","3.0.0"
"48","ZOOKEEPER-208","3.1.0","3.0.0"
"49","ZOOKEEPER-206","3.0.1","3.0.0"
"50","ZOOKEEPER-206","3.1.0","3.0.0"
"51","ZOOKEEPER-204","3.0.1","3.0.0"
"52","ZOOKEEPER-204","3.1.0","3.0.0"
"53","ZOOKEEPER-285","3.1.0","3.0.0"
"54","ZOOKEEPER-275","3.1.0","3.0.0"
"55","ZOOKEEPER-268","3.1.0","3.0.0"
"56","ZOOKEEPER-267","3.1.0","3.0.0"
